,000016.XSHG,000932.XSHG,000960.XSHG,000905.XSHG,000922.XSHG,000300.XSHG,399006.XSHE,399701.XSHE,000978.XSHG,399005.XSHE
2010q1,0.0,0.0,0.0,7.2407875,22.589798,0.0,0.0,0.0,0.0,16.906582
2010q2,0.0,0.0,0.0,8.4044259,20.360085,0.0,0.0,0.0,0.0,17.183804
2010q3,0.0,0.0,0.0,8.9835826,19.706842,0.0,22.956285,0.0,0.0,17.385226
2010q4,0.0,0.0,0.0,9.2210564,18.70612,0.0,22.848147,0.0,0.0,17.270086
2011q1,0.0,0.0,0.0,9.8918588,22.838061,0.0,19.383041,0.0,0.0,17.466772
2011q2,27.519436,18.002213,16.717326,11.068602,22.762963,0.0,21.70656,11.858268,14.07095,15.144871
2011q3,23.886708,14.906867,13.661037,7.920618,19.658856,0.0,21.03434,9.20088,12.290304,14.711979
2011q4,24.224734,14.854169,13.88127,7.932633,19.851564,0.0,21.608737,9.380841,12.396148,14.761533
2012q1,24.307218,19.838224,15.011826,6.26793,15.897992,0.0,18.294097,11.642258,13.687299,14.853521
2012q2,24.503837,18.630606,16.205804,7.865619,17.452223,0.0,21.660758,11.317759,13.109495,14.928807
2012q3,23.862109,21.701102,15.976198,8.020377,21.622648,17.707433,16.303601,9.364926,14.990807,15.277176
2012q4,24.123814,21.530238,16.20444,8.204923,21.947109,17.909418,16.372733,9.407814,15.200132,15.233267
2013q1,27.557657,19.010527,16.710049,8.565161,28.251,20.567461,15.555631,11.149382,16.100484,14.625906
2013q2,26.871804,16.513769,16.947242,10.194469,28.263215,20.161126,16.88836,10.97445,16.616308,15.146884
2013q3,25.428245,13.347036,16.315087,8.847152,27.344989,19.343176,16.302932,10.549143,15.825627,15.391582
2013q4,25.6396,11.236681,16.188936,8.66012,27.825219,19.338537,16.672572,10.356144,15.832883,14.671476
2014q1,26.616273,16.145313,17.429564,9.034293,17.478118,19.849282,14.210298,10.729671,15.684477,14.489162
2014q2,26.85959,16.806299,18.019902,10.241945,19.467687,20.553519,18.910963,11.099154,16.343622,16.347657
2014q3,25.334058,13.505411,13.501279,7.749571,17.558082,19.635387,16.92832,10.876475,15.58205,14.772791
2014q4,25.256859,13.075935,13.331485,7.769456,17.017331,19.430035,16.645495,10.836159,15.632433,14.750813
2015q1,26.65365,15.573131,13.468233,8.687193,16.155742,20.02217,15.736952,13.028863,15.016046,13.358715
2015q2,24.171464,14.603808,14.30884,11.931741,16.418525,19.324254,23.73744,12.81585,15.840647,14.670344
2015q3,20.8218231,12.1735472,13.4520976,7.9847495,12.6551446,16.7868772,19.07385553,9.808069,14.3498712,13.03582579
2015q4,21.0911225,13.072899,13.3011863,8.0937099,13.20459,17.1219215,19.42821946,10.2572378,14.4944573,13.08724733
2016q1,23.7033129,17.4586859,13.6190566,8.0703854,18.484457,18.9518139,16.33673171,10.8137534,17.224105,14.10956755
2016q2,26.3992739,16.9248133,14.618537,10.47093696,20.5615681,20.7335811,19.35443173,11.8417307,17.3992019,15.32994284
2016q3,24.3179286,15.6301104,14.7386554,10.1657829,20.5799348,19.8221164,19.84270384,13.4700103,15.6532449,14.20696552
2016q4,24.1039516,15.6172799,14.6332384,10.1345962,20.3976762,19.735726,19.66143551,13.3117448,15.818447,14.01051914
2017q1,25.351787787,22.655880085,14.452090857,9.106577548,18.815166207,19.716061533,14.0829646301,13.234568938,17.681750666,15.4832773249
2017q2,25.665004158,21.197896545,16.678513576,10.956987773,20.300111083,20.319019038,16.9966524602,13.954496618,16.671758405,14.757780856
2017q3,24.825575303,19.72253187,15.148087057,12.056585886,19.967833413,20.371218103,17.0050894423,14.75288829,16.497521911,16.9046474049
2017q4,24.560038214,20.303961143,14.932570985,12.442842168,19.923361722,20.140317565,17.645449513,14.658920541,16.783929366,17.1915103025
2018q1,25.2483634,25.158553621,15.869690335,10.374279037,18.66342834,20.527416085,16.8740602126,14.06024886,17.869620742,15.9742245395
2018q2,25.0249429,20.2288939,16.6230785,11.158711,19.5389259,20.3720644,18.42603553,13.1303464,16.6333032,16.61299306
2018q3,23.0799673,22.557031,14.7499119,9.8894966,18.9633948,19.2588207,19.53093849,13.9646095,14.6082876,14.36231686
