,000016.XSHG,000932.XSHG,000960.XSHG,000905.XSHG,000922.XSHG,000300.XSHG,399006.XSHE,399701.XSHE,000978.XSHG,399005.XSHE
2010q1,0.0,0.0,0.0,1.188746,1.911382,0.0,0.0,0.0,0.0,2.469662
2010q2,0.0,0.0,0.0,1.480462,1.742055,0.0,0.0,0.0,0.0,2.812061
2010q3,0.0,0.0,0.0,1.3818697,1.628303,0.0,1.938676,0.0,0.0,2.85146
2010q4,0.0,0.0,0.0,1.4317884,1.765128,0.0,1.931405,0.0,0.0,2.888466
2011q1,0.0,0.0,0.0,1.4456803,2.062809,0.0,1.522557,0.0,0.0,2.649726
2011q2,1.877559,3.147561,1.493284,1.773074,1.950452,0.0,2.172357,1.530251,2.364225,2.881004
2011q3,1.616541,3.141133,1.294861,1.332603,1.692821,0.0,1.969304,1.203654,2.194165,2.553051
2011q4,1.598871,3.15933,1.305912,1.362651,1.687749,0.0,2.027564,1.23272,2.229868,2.618476
2012q1,1.468915,4.718981,1.27308,0.911839,1.458813,0.0,1.558555,1.277783,2.022497,2.350422
2012q2,1.472051,3.584941,1.401834,1.111391,1.482088,0.0,2.225512,1.183034,2.028617,2.278663
2012q3,1.203174,4.506004,1.175326,1.156533,1.307282,1.41541,1.810072,1.008665,2.130675,2.539579
2012q4,1.242975,4.50789,1.209976,1.178696,1.333801,1.456394,1.865176,1.042957,2.197567,2.549734
2013q1,1.054495,4.223008,1.122812,1.132284,0.968753,1.279993,1.647792,1.003599,2.28679,1.99225
2013q2,1.058385,3.474119,1.299699,1.375663,1.04648,1.387142,2.379932,1.127389,2.537887,2.336355
2013q3,1.028162,2.911168,1.251353,1.255415,1.103009,1.389442,2.077557,0.917991,2.388436,2.278292
2013q4,0.943673,2.675199,1.241303,1.245236,1.07589,1.336836,2.132003,0.942237,2.357663,2.189474
2014q1,0.997883,3.255027,1.110219,1.232374,1.661735,1.279134,1.851111,0.858426,2.322038,1.862354
2014q2,1.071717,2.935697,1.232217,1.451704,1.875288,1.431059,2.417288,1.076441,2.561407,2.318247
2014q3,0.997894,2.313877,1.600645,1.116779,1.809592,1.333614,2.147547,0.99262,2.346476,2.112647
2014q4,0.995158,2.193324,1.568497,1.118747,1.747071,1.326904,2.090394,0.933506,2.327912,2.085034
2015q1,0.922982,2.911608,1.523062,1.01024,1.264271,1.156529,1.525788,0.935262,2.392962,1.578667
2015q2,1.040209,2.271221,1.771211,1.397889,1.471935,1.361481,2.563929,1.108989,2.516618,1.941393
2015q3,0.6669231,2.0359302,1.3748218,1.048347,1.1687785,0.9930484,2.06648258,0.9006405,1.9579368,1.6527216
2015q4,0.6747032,2.1166623,1.3869013,1.0745026,1.2358966,1.0248621,2.14339901,0.9431792,2.0003684,1.681378
2016q1,0.7025847,3.189471,1.5462019,1.0828658,1.3227248,1.0692928,1.53600411,1.1309026,2.2883424,1.42493219
2016q2,0.7976088,2.5548186,1.6147946,1.449626,1.6167893,1.1604467,2.23552539,1.2244898,2.3997457,1.75052218
2016q3,0.7131812,2.4317446,1.6003687,1.2409187,1.602526,1.1909267,2.04078077,1.3438087,2.1361524,1.94956685
2016q4,0.7038552,2.4182541,1.5614346,1.2406027,1.5827555,1.1708964,2.07528701,1.308579,2.1413677,1.91975185
2017q1,0.801265703,3.954790103,1.488173766,1.157754078,1.346010534,1.11773091,1.5358409816,1.474335028,2.119760865,1.6713182131
2017q2,0.865759571,2.857736436,1.597634858,1.53046336,1.627764211,1.265013646,1.7643164518,1.535106486,2.46561487,2.0919049154
2017q3,0.971066946,3.387459497,1.547417294,1.778267199,1.65243316,1.358257393,2.0152676385,1.546060103,2.664159483,2.4227253987
2017q4,1.0806355,3.518522779,1.634591285,1.881607334,1.722809988,1.456551165,2.1663530296,1.605589028,2.796037713,2.5507497522
2018q1,1.18673401,4.660111353,1.543616359,1.383047125,1.426615824,1.468386917,1.8516388613,1.663167106,2.423081069,2.0189195424
2018q2,1.1055163,3.0269758,1.6494395,1.5360096,1.6144633,1.5860393,1.87611317,1.6879014,2.6152673,2.4891971
2018q3,1.4513116,3.7098038,1.7042142,1.3434666,1.6489108,1.7045884,2.25391118,1.6786367,2.4178413,2.44570758
