,000016.XSHG,000932.XSHG,000960.XSHG,000905.XSHG,000922.XSHG,000300.XSHG,399006.XSHE,399701.XSHE,000978.XSHG,399005.XSHE
2010q1,0.0,0.0,0.0,2.5637409,5.043827,0.0,0.0,0.0,0.0,4.110592
2010q2,0.0,0.0,0.0,2.9549876,4.862933,0.0,0.0,0.0,0.0,5.097483
2010q3,0.0,0.0,0.0,2.6755731,4.761154,0.0,2.761392,0.0,0.0,5.575171
2010q4,0.0,0.0,0.0,2.7908315,4.908466,0.0,2.770595,0.0,0.0,5.618393
2011q1,0.0,0.0,0.0,2.6952622,4.779453,0.0,1.797047,0.0,0.0,4.424852
2011q2,6.539415,5.646609,4.833473,3.195286,4.827552,0.0,2.587803,4.470787,3.636396,4.945723
2011q3,5.235745,5.779122,3.929204,2.414677,4.159681,0.0,2.327875,3.318414,3.262389,4.587642
2011q4,5.260648,6.020703,3.997588,2.45115,4.180398,0.0,2.479378,3.352147,3.323895,4.723149
2012q1,4.847153,7.440968,3.621014,1.104354,3.154513,0.0,1.899567,2.897179,3.072447,4.07098
2012q2,5.142983,5.723877,4.286063,3.694491,3.382339,0.0,2.803882,2.955703,3.198861,4.046857
2012q3,4.300856,8.016759,3.910109,2.16232,4.058145,3.854166,2.366846,2.515898,3.352984,4.573146
2012q4,4.405453,8.084234,4.006576,2.209959,4.155666,3.947724,2.4762,2.630709,3.462443,4.549591
2013q1,4.557119,6.337014,3.801687,2.004605,4.360786,3.774915,2.278363,2.53919,3.413419,3.361517
2013q2,4.951385,5.681026,4.616424,2.542571,4.67376,4.339495,3.38485,3.286767,3.945153,4.070246
2013q3,4.23424,4.70063,4.208443,2.349214,4.53161,4.013592,2.905474,2.701727,3.589193,4.027785
2013q4,4.236398,4.480164,4.276927,2.348714,4.570841,4.029944,2.971649,2.88089,3.549285,3.852065
2014q1,4.397231,5.028814,4.201864,2.312968,3.562049,3.703206,2.771744,2.348944,3.23983,2.917491
2014q2,4.731797,4.70884,4.814638,2.704707,4.021975,4.358495,3.439109,3.318818,4.046235,3.936067
2014q3,4.327966,3.705266,3.667835,2.010305,3.747637,3.989212,3.141905,2.902312,3.524752,3.55414
2014q4,4.290693,3.550229,3.615267,2.042079,3.663519,3.934271,3.055804,2.777522,3.485068,3.557446
2015q1,4.356477,4.419335,3.413809,1.859357,3.092795,3.695166,2.58499,2.550572,3.655628,2.684926
2015q2,4.765014,3.802873,4.158475,3.244218,3.535688,4.487827,6.268775,3.852045,4.034259,3.741333
2015q3,3.44591,3.4216168,3.1256168,1.8317309,2.8297167,3.1671364,3.94863152,2.45934,3.0869186,3.16942028
2015q4,3.5141368,3.5416445,3.1014765,1.8759041,2.9465632,3.247353,4.10213155,2.518788,3.1843224,3.18629909
2016q1,3.5631388,4.898249,3.3972276,1.8667742,3.1884118,3.1148231,2.47361125,2.5251986,3.3341047,2.45732789
2016q2,3.750597182,4.092278,3.584348577,2.568432541,3.770625061,3.39530826,3.478958428,3.529572543,3.575891776,3.2122407625
2016q3,3.227356913,4.015781183,3.299523066,2.111069756,3.709084274,3.239966805,3.2197768565,3.596925077,3.086801204,3.5496756191
2016q4,3.223258677,3.999634622,3.254013283,2.123469046,3.698799498,3.237001182,3.288604031,3.640148798,3.108258483,3.5260046285
2017q1,3.477727731,5.938334959,3.138282086,2.097404011,3.174352837,3.15958848,2.4125657892,3.639589881,3.086461521,2.9306186791
2017q2,3.552520987,4.491359473,3.490267719,2.826639278,3.734805961,3.56845212,2.969180571,4.451597813,3.689946958,3.8750810558
2017q3,3.793903438,5.193851963,3.606956901,3.229157988,3.848421178,3.739955853,3.4073896618,4.464318942,4.014822124,4.5186402873
2017q4,3.988318522,5.434200269,3.779605086,3.423617935,3.96856642,3.900128638,3.6818669133,4.582531784,4.197542224,4.7596841288
2018q1,4.157497448,6.821005307,3.270928563,2.4261381,3.340125028,3.711808263,2.9149767876,3.878253619,3.59930014,3.5020694798
2018q2,4.1454889,4.3587064,3.3703433,2.7830948,3.7201623,4.0676684,3.00671209,4.6972749,4.005387,4.51537195
2018q3,3.9768925,5.4134689,3.541616,2.3466867,3.6342304,3.9341437,3.51599354,4.3399985,3.5467026,4.34305728
