code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1821,ESR,主板,10-22(周二),10-25(周五),11-01(周五),16.2-17.4,3480,100.00%,16.8,30-32,不建议,282.00%,中国物流资产,3.22,105,3.10%,5.36%,1.43%,德银/中信里昂
302,中手游,主板,10-21(周一),10-24(周四),10-31(周四),2.19-2.83,5660,15.00%,2.83,14-18,不建议,30.00%,游莱互动,543.83,13,4.59%,2.12%,42.76%,中金公司/法巴
1847,云南建投混凝土,主板,10-21(周一),10-24(周四),10-31(周四),2.76-3.51,3510,70.00%,3.36,6-7.8,不建议,50.00%,华润水泥,18.46,4.4,-16.67%,-20.83%,-27.98%,中金公司
6855,亚盛医药-B,主板,10-16(周三),10-21(周一),10-28(周一),32.2-34.2,3420,9.00%,34.2,-,尚可申购,30.00%,君实生物-B,751.99,4.16,52.34%,9.94%,7.60%,美银美林/花旗
1692,登辉控股,主板,10-15(周二),10-18(周五),10-25(周五),1.3-1.5,3000,10.00%,1.3,13.7-15.8,尚可申购,-,全达电器,274.49,1.3,-19.23%,-33.85%,-43.85%,同人融资
1871,向中国际,主板,10-11(周五),10-16(周三),10-24(周四),1.28-1.42,5680,1.60%,1.28,21-23.6,尚可申购,-,东方时尚,380.15,1.28,13.28%,-32.03%,-53.91%,信达国际
2606,蓝光嘉宝服务,主板,10-08(周二),10-11(周五),10-18(周五),30.6-39,3900,100.00%,37,16.3-20.7,不建议,37.00%,佳兆业物业,52.89,15,17.84%,15.00%,20.14%,华泰金融/农银国际
1959,世纪联合,主板,09-30(周一),10-11(周五),10-18(周五),1.01-1.23,2460,40.00%,1.08,13.3-16,不建议,-,中升集团,22.16,1.35,7.41%,-28.70%,-47.22%,富强金融
8441,国际永胜集团,创业板,09-30(周一),10-09(周三),10-22(周二),0.32-0.39,3900,30.00%,0.32,10月12日,建议申购,-,中智全球,41.56,0.64,62.50%,0.00%,65.62%,南华金融
1084,绿新亲水胶体,主板,09-30(周一),10-09(周三),10-17(周四),1.16-1.74,3480,100.00%,1.16,10-14.9,不建议,-,豪特保健,1.59,2.32,42.24%,16.38%,11.21%,安信国际
1843,快餐帝国,主板,09-30(周一),10-08(周二),10-23(周三),0.65-0.75,3000,19.49%,0.65,40-46,不建议,-,叙福楼,13.68,1.3,84.62%,-6.15%,-27.69%,力高企业
1846,德视佳,主板,09-30(周一),10-08(周二),10-15(周二),6.2-8.8,8800,30.00%,7.5,53-76,建议申购,45.00%,希玛眼科,42.72,5.5,71.73%,46.67%,32.13%,中银国际
1967,信懇智能,主板,09-30(周一),10-04(周五),10-18(周五),2-2.5,5000,15.01%,2,11-13.8,不建议,-,恒达科技,12.88,1.25,57.00%,70.00%,95.50%,德健融资
1853,春城热力,主板,09-27(周五),10-17(周四),10-24(周四),1.9-2.5,6250,20.00%,2.35,8-10.2,不建议,37.00%,北京控股,98.25,2.6,-2.98%,-6.38%,-12.77%,中银国际
1283,高陞集团,主板,09-27(周五),10-08(周二),10-18(周五),0.625-0.75,3750,10.00%,0.73,8.8-10.6,尚可申购,-,顺兴集团,81.62,1.45,31.51%,1.37%,-32.88%,Amcap
1582,华营建筑,主板,09-27(周五),10-03(周四),10-16(周三),1-1.4,3500,20.00%,1,7月10日,尚可申购,-,耀高控股,9.87,1.38,128.00%,15.00%,-22.00%,第一上海
1955,庄臣控股,主板,09-27(周五),10-03(周四),10-16(周三),1-1.2,2400,50.00%,1,23-27,尚可申购,-,立高控股,50.03,1.25,48.00%,23.00%,-15.00%,西证国际
8418,傲迪玛汽车,创业板,09-27(周五),10-03(周四),10-11(周五),0.2-0.26,2600,40.00%,0.24,-,不建议,-,中升集团,28.18,0.6,6.25%,93.75%,658.33%,东方证券
3601,鲁大师,主板,09-26(周四),10-02(周三),10-10(周四),2.3-3,3000,20.00%,2.7,7.4-9.7,建议申购,-,豆盟科技,277.36,1.5,38.89%,218.52%,98.15%,国信证券
6110,滔博,主板,09-26(周四),10-02(周三),10-10(周四),8.3-10.1,10100,100.00%,8.5,22-26,不建议,150.00%,宝胜国际,2.39,78,-0.71%,8.82%,11.06%,美银美林/摩根士坦利
1895,鑫苑服务,主板,09-25(周三),09-30(周一),10-11(周五),2.08-3,3000,20.01%,2.08,12.3-17.7,建议申购,-,佳兆业物业,6.01,2.6,12.98%,41.83%,5.77%,东方证券
6820,FRIENDTIMES,主板,09-24(周二),09-27(周五),10-08(周二),1.52-1.96,3920,50.00%,1.52,9-11.5,不建议,150.00%,指尖悦动,7.95,5.016,0.66%,0.00%,-46.05%,国泰君安
1876,百威亚太,主板,09-18(周三),09-23(周一),09-30(周一),27-30,3000,100.00%,27,100-111,不建议,300.00%,青岛啤酒,3.64,367,1.30%,4.44%,8.89%,摩根大通/摩根士坦利
3938,LFG投资控股,主板,09-17(周二),09-20(周五),09-30(周一),1.3-1.7,3400,25.06%,1.68,10.6-13.87,不建议,-,耀才证券,28.42,1.2,-1.79%,-36.31%,-47.02%,力高企业
1960,TBKS HLDGS,主板,09-16(周一),09-19(周四),09-30(周一),0.5-0.6,3000,10.01%,0.5,14.5-17.45,尚可申购,-,震升工程,9.6,1.25,46.00%,60.00%,-54.60%,红日资本
8668,瀛海集团,创业板,09-13(周五),09-18(周三),09-26(周四),0.2-0.24,2400,30.00%,0.24,10.9-13,尚可申购,-,海天地悅旅,54.9,0.72,-10.00%,0.42%,-31.67%,力高企业
2696,复宏汉霖-B,主板,09-12(周四),09-17(周二),09-25(周三),49.6-57.8,5780,100.00%,49.6,-,建议申购,150.00%,君实生物-B,3.89,32.1,-2.22%,-0.30%,-8.06%,中金/美林/招银/复星/花旗
3928,S&T HLDGS,主板,08-29(周四),09-03(周二),09-19(周四),1.05-1.15,2300,35.01%,1.07,13.15-14.41,尚可申购,-,耀高控股,7.21,1.27,14.95%,14.02%,-1.87%,均富融资
1920,恒新丰控股,主板,08-06(周二),08-09(周五),08-16(周五),0.2,2000,80.00%,0.2,12.9,不建议,-,恒益控股,15.14,1.3,15.00%,-16.00%,-3.50%,均富融资
