时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2007-01-04 16:00:00,1.28,-1.44,0,-14435.64,991445.6,0
2007-01-05 16:00:00,1.56,-1.35,973.6,0,0,0
2007-01-08 16:00:00,4.43,-0.05,12929.8,0,0,0
2007-01-09 16:00:00,7.79,0.96,10095,0,0,0
2007-01-10 16:00:00,10.53,2.13,11701.6,0,0,0
2007-01-11 16:00:00,9.34,1.95,0,-1767.8,0,0
2007-01-12 16:00:00,6.5,-0.04,0,-19883.6,0,0
2007-01-15 16:00:00,12.07,1.78,18174,0,0,0
2007-01-16 16:00:00,15.33,2.79,10161.8,0,0,0
2007-01-17 16:00:00,13.12,3.21,4128,0,0,0
2007-01-18 16:00:00,13.52,2.38,0,-8234,0,0
2007-01-19 16:00:00,17.4,3.58,11964,0,0,0
2007-01-22 16:00:00,22.06,6.18,25976.6,0,0,0
2007-01-23 16:00:00,22.88,7.05,8750.8,0,0,0
2007-01-24 16:00:00,24.27,7.72,6659,0,0,0
2007-01-25 16:00:00,20.18,6.38,0,-13390.2,0,0
2007-01-26 16:00:00,23.12,7.79,14079.6,0,0,0
2007-01-29 16:00:00,26.25,9.07,12849.4,0,0,0
2007-01-30 16:00:00,25.03,9.11,385.6,0,0,0
2007-01-31 16:00:00,16.87,5.92,0,-31881.2,0,0
2007-02-01 16:00:00,17.35,5.11,0,-8105.4,0,0
2007-02-02 16:00:00,12.59,2.27,0,-28410.8,0,0
2007-02-05 16:00:00,11.31,1.63,0,-6397.6,0,0
2007-02-06 16:00:00,13.47,3,13669.4,0,0,0
2007-02-07 16:00:00,16.11,3.7,6983.8,0,0,0
2007-02-08 16:00:00,18.11,4.89,11953.6,0,0,0
2007-02-09 16:00:00,17.45,4.72,0,-1694.8,0,0
2007-02-12 16:00:00,21.77,6.3,15724.2,0,0,0
2007-02-13 16:00:00,23.59,7.36,10664.8,0,0,0
2007-02-14 16:00:00,26.81,8.83,14723,0,0,0
2007-02-15 16:00:00,30.75,10.49,16509.2,0,0,0
2007-02-16 16:00:00,31.15,11.15,6625.4,0,0,0
2007-02-26 16:00:00,32.66,11.64,4878,0,0,0
2007-02-27 16:00:00,20.4,5.9,0,-57382.4,0,0
2007-02-28 16:00:00,24.67,7.32,14185.2,0,0,0
2007-03-01 16:00:00,21.19,5.63,0,-16822.8,0,0
2007-03-02 16:00:00,22.91,6.41,7735.6,0,0,0
2007-03-05 16:00:00,21.29,5.49,0,-9179.6,0,0
2007-03-06 16:00:00,23.48,6.49,10015.8,0,0,0
2007-03-07 16:00:00,26.87,8.54,20464.8,0,0,0
2007-03-08 16:00:00,28.74,8.92,3790.8,0,0,0
2007-03-09 16:00:00,27.94,9.23,3156,0,0,0
2007-03-12 16:00:00,28.18,9.22,0,-96,0,0
2007-03-13 16:00:00,29.35,9.16,0,-616.2,0,0
2007-03-14 16:00:00,27.26,8.09,0,-10676,0,0
2007-03-15 16:00:00,29.62,8.6,5034,0,0,0
2007-03-16 16:00:00,27.59,8.07,0,-5286.6,0,0
2007-03-19 16:00:00,30.3,9.58,15086.8,0,0,0
2007-03-20 16:00:00,30.95,9.66,876.8,0,0,0
2007-03-21 16:00:00,32.41,10.26,5911.6,0,0,0
2007-03-22 16:00:00,32.84,10.99,7304.4,0,0,0
2007-03-23 16:00:00,33.08,10.54,0,-4469.6,0,0
2007-03-26 16:00:00,35.42,11.4,8614.4,0,0,0
2007-03-27 16:00:00,36.4,11.85,4476.6,0,0,0
2007-03-28 16:00:00,37.07,12.28,4312,0,0,0
2007-03-29 16:00:00,36.37,12.91,6347.4,0,0,0
2007-03-30 16:00:00,36.29,12.78,0,-1303,0,0
2007-04-02 16:00:00,39.64,14.08,12918.2,0,0,0
2007-04-03 16:00:00,41.5,14.72,6464.4,0,0,0
2007-04-04 16:00:00,42.66,15.29,5664.2,0,0,0
2007-04-05 16:00:00,44.29,15.55,2655.2,0,0,0
2007-04-06 16:00:00,45.61,16.35,7957.6,0,0,0
2007-04-09 16:00:00,48.85,17.42,10677.2,0,0,0
2007-04-10 16:00:00,50.98,18.11,6953.2,0,0,0
2007-04-11 16:00:00,52.93,19.48,13700.2,0,0,0
2007-04-12 16:00:00,55.63,20.37,8902.2,0,0,0
2007-04-13 16:00:00,55.27,20.47,942.8,0,0,0
2007-04-16 16:00:00,59.53,22,15315.6,0,0,0
2007-04-17 16:00:00,60.88,21.8,0,-1971,0,0
2007-04-18 16:00:00,61.9,21.45,0,-3565.8,0,0
2007-04-19 16:00:00,54.35,18.58,0,-28656.4,0,0
2007-04-20 16:00:00,61.16,21.48,29023,0,0,0
2007-04-23 16:00:00,68.12,24.47,29887.2,0,0,0
2007-04-24 16:00:00,68.8,24.72,2485.8,0,0,0
2007-04-25 16:00:00,68.95,24.74,248.4,0,0,0
2007-04-26 16:00:00,71.17,25.67,9214.6,0,0,0
2007-04-27 16:00:00,70.04,25.68,189.2,0,0,0
2007-04-30 16:00:00,74.36,28.73,30429.2,0,0,0
