时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2007-01-04 16:00:00,0.42,-1.44,0,-14435.64,991445.6,0
2007-01-05 16:00:00,0.58,-1.35,973.6,0,0,0
2007-01-08 16:00:00,3.25,-0.05,12929.8,0,0,0
2007-01-09 16:00:00,5.3,0.96,10095,0,0,0
2007-01-10 16:00:00,7.66,2.13,11701.6,0,0,0
2007-01-11 16:00:00,7.27,1.95,0,-1767.8,0,0
2007-01-12 16:00:00,3.25,-0.04,0,-19883.6,0,0
2007-01-15 16:00:00,6.95,1.78,18174,0,0,0
2007-01-16 16:00:00,8.96,2.79,10161.8,0,0,0
2007-01-17 16:00:00,9.83,3.21,4128,0,0,0
2007-01-18 16:00:00,8.12,2.38,0,-8234,0,0
2007-01-19 16:00:00,10.55,3.58,11964,0,0,0
2007-01-22 16:00:00,15.85,6.18,25976.6,0,0,0
2007-01-23 16:00:00,17.68,7.05,8750.8,0,0,0
2007-01-24 16:00:00,19.05,7.72,6659,0,0,0
2007-01-25 16:00:00,16.29,6.38,0,-13390.2,0,0
2007-01-26 16:00:00,19.23,7.79,14079.6,0,0,0
2007-01-29 16:00:00,21.72,9.07,12849.4,0,0,0
2007-01-30 16:00:00,21.82,9.11,385.6,0,0,0
2007-01-31 16:00:00,15.27,5.92,0,-31881.2,0,0
2007-02-01 16:00:00,13.62,5.14,0,-7836.81,33576,-28876.2
2007-02-02 16:00:00,7.82,2.44,0,-26966.6,0,0
2007-02-05 16:00:00,6.47,1.84,0,-6053.5,0,0
2007-02-06 16:00:00,9.32,3.13,12934.4,0,0,0
2007-02-07 16:00:00,10.73,3.8,6644.2,0,0,0
2007-02-08 16:00:00,13.26,4.93,11302.6,0,0,0
2007-02-09 16:00:00,12.84,4.77,0,-1573.9,0,0
2007-02-12 16:00:00,16.15,6.26,14869.2,0,0,0
2007-02-13 16:00:00,18.44,7.26,10067.8,0,0,0
2007-02-14 16:00:00,21.42,8.66,13988.9,0,0,0
2007-02-15 16:00:00,24.75,10.23,15695.9,0,0,0
2007-02-16 16:00:00,26.04,10.86,6332.3,0,0,0
2007-02-26 16:00:00,27,11.33,4643.1,0,0,0
2007-02-27 16:00:00,15.27,5.88,0,-54461.3,0,0
2007-02-28 16:00:00,18.18,7.23,13449.9,0,0,0
2007-03-01 16:00:00,14.69,5.66,0,-15721.36,0,-7563.4
2007-03-02 16:00:00,16.23,6.38,7265.7,0,0,0
2007-03-05 16:00:00,14.29,5.53,0,-8545.7,0,0
2007-03-06 16:00:00,16.34,6.46,9373.3,0,0,0
2007-03-07 16:00:00,20.57,8.38,19130.6,0,0,0
2007-03-08 16:00:00,21.34,8.73,3550.6,0,0,0
2007-03-09 16:00:00,21.96,9.03,2977.5,0,0,0
2007-03-12 16:00:00,21.92,9.02,0,-76.3,0,0
2007-03-13 16:00:00,21.82,8.96,0,-592.6,0,0
2007-03-14 16:00:00,19.65,7.96,0,-10012.9,0,0
2007-03-15 16:00:00,20.76,8.43,4668.6,0,0,0
2007-03-16 16:00:00,19.63,7.94,0,-4925.3,0,0
2007-03-19 16:00:00,22.8,9.34,14068.3,0,0,0
2007-03-20 16:00:00,22.97,9.43,831.6,0,0,0
2007-03-21 16:00:00,24.19,9.98,5527.3,0,0,0
2007-03-22 16:00:00,25.74,10.66,6805.1,0,0,0
2007-03-23 16:00:00,24.79,10.24,0,-4170.7,0,0
2007-03-26 16:00:00,26.62,11.04,8020.7,0,0,0
2007-03-27 16:00:00,27.55,11.46,4191.3,0,0,0
2007-03-28 16:00:00,28.43,11.87,4028.6,0,0,0
2007-03-29 16:00:00,29.76,12.46,5927.2,0,0,0
2007-03-30 16:00:00,29.46,12.34,0,-1195,0,0
2007-04-02 16:00:00,32.03,13.5,11571.3,0,33567,-25488
2007-04-03 16:00:00,33.33,14.08,5819.8,0,0,0
2007-04-04 16:00:00,34.5,14.59,5077.4,0,0,0
2007-04-05 16:00:00,35.06,14.82,2349.6,0,0,0
2007-04-06 16:00:00,36.73,15.53,7087.4,0,0,0
2007-04-09 16:00:00,39.04,16.47,9414.8,0,0,0
2007-04-10 16:00:00,40.55,17.09,6136.8,0,0,0
2007-04-11 16:00:00,43.42,18.31,12206.2,0,0,0
2007-04-12 16:00:00,45.27,19.1,7946.2,0,0,0
2007-04-13 16:00:00,45.43,19.19,880.6,0,0,0
2007-04-16 16:00:00,48.6,20.56,13684.2,0,0,0
2007-04-17 16:00:00,48.26,20.37,0,-1834.4,0,0
2007-04-18 16:00:00,47.78,20.02,0,-3503.6,0,0
2007-04-19 16:00:00,41.93,17.45,0,-25696.6,0,0
2007-04-20 16:00:00,48.04,20.03,25803.2,0,0,0
2007-04-23 16:00:00,54.19,22.71,26761.4,0,0,0
